symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2010-04-15 00:00:00+00:00,184.27,185.6,183.66,185.54,7838700,155.8923276172,157.0175069505,155.3762679231,156.9667469805,7838700,0.0,1.0
GS,2010-04-16 00:00:00+00:00,160.7,186.41,155.55,183.62,102043700,135.9521194339,157.7027665444,131.5952220159,155.3424279431,102043700,0.0,1.0
GS,2010-04-19 00:00:00+00:00,163.32,163.73,155.0,155.6,54299200,138.1686381204,138.5154979149,131.1299222916,131.6375219908,54299200,0.0,1.0
GS,2010-04-20 00:00:00+00:00,159.98,166.71,158.0,166.44,42196600,135.3429997949,141.0365764209,133.6679207876,140.8081565562,42196600,0.0,1.0
GS,2010-04-21 00:00:00+00:00,158.93,163.14,157.0,161.67,30371000,134.4547003213,138.0163582107,132.8219212889,136.7727389476,30371000,0.0,1.0
GS,2010-04-22 00:00:00+00:00,159.05,162.0,156.29,157.93,24823000,134.5562202612,137.0519187822,132.2212616449,133.6087008227,24823000,0.0,1.0
GS,2010-04-23 00:00:00+00:00,157.4,160.72,157.0,160.19,14916000,133.1603210884,135.9690394239,132.8219212889,135.5206596896,14916000,0.0,1.0
GS,2010-04-26 00:00:00+00:00,152.03,156.99,151.52,156.72,30940700,128.6173037806,132.8134612939,128.1858440363,132.5850414293,30940700,0.0,1.0
GS,2010-04-27 00:00:00+00:00,153.04,156.19,150.15,150.25,34516800,129.4717632742,132.136661695,127.0268247231,127.111424673,34516800,0.0,1.0
GS,2010-04-28 00:00:00+00:00,157.01,157.65,154.69,156.66,21226100,132.8303812839,133.371820963,130.867662447,132.5342814594,21226100,0.0,1.0
GS,2010-04-29 00:00:00+00:00,160.24,161.05,158.34,159.55,18464300,135.5629596646,136.2482192585,133.9555606171,134.9792200105,18464300,0.0,1.0
GS,2010-04-30 00:00:00+00:00,145.2,152.5,143.3,151.9,73187900,122.8391272048,129.014923545,121.2317281573,128.5073238458,73187900,0.0,1.0
GS,2010-05-03 00:00:00+00:00,149.5,150.65,146.5346,147.84,28282700,126.476925049,127.4498244724,123.9681981357,125.0725658812,28282700,0.0,1.0
GS,2010-05-04 00:00:00+00:00,149.45,152.35,147.83,149.03,30313400,126.4346250741,128.8880236202,125.0641058862,126.0793052846,30313400,0.0,1.0
GS,2010-05-05 00:00:00+00:00,148.19,151.22,147.2,148.1,18355200,125.3686657058,127.9320441867,124.5311262021,125.2925257509,18355200,0.0,1.0
GS,2010-05-06 00:00:00+00:00,142.32,148.63,139.06,147.48,22984700,120.4026486486,125.7409054852,117.644690283,124.7680060617,22984700,0.0,1.0
GS,2010-05-07 00:00:00+00:00,142.99,146.55,141.5,145.38,21268500,120.9694683127,123.981226528,119.7089290597,122.9914071145,21268500,0.0,1.0
GS,2010-05-10 00:00:00+00:00,143.83,149.9,141.2,149.09,23098200,121.6801078916,126.8153248485,119.4551292102,126.1300652545,23098200,0.0,1.0
GS,2010-05-11 00:00:00+00:00,141.97,145.5,141.55,142.4,15497900,120.1065488241,123.0929270544,119.7512290347,120.4703286085,15497900,0.0,1.0
GS,2010-05-12 00:00:00+00:00,147.2,147.65,142.28,144.24,15457000,124.5311262021,124.9118259765,120.3688086687,122.0269676861,15457000,0.0,1.0
GS,2010-05-13 00:00:00+00:00,144.65,148.45,144.42,148.36,11517900,122.3738274805,125.5886255754,122.1792475958,125.5124856205,11517900,0.0,1.0
GS,2010-05-14 00:00:00+00:00,143.23,144.15,141.9,143.41,10977400,121.1725081924,121.9508277312,120.0473288592,121.3247881022,10977400,0.0,1.0
GS,2010-05-17 00:00:00+00:00,142.64,144.3,138.53,143.47,16330100,120.6733684882,122.077727656,117.1963105487,121.3755480721,16330100,0.0,1.0
GS,2010-05-18 00:00:00+00:00,137.36,143.75,136.6,143.69,18025300,116.2064911353,121.6124279317,115.5635315163,121.5616679618,18025300,0.0,1.0
GS,2010-05-19 00:00:00+00:00,140.1,140.13,136.1,137.95,18079900,118.5245297616,118.5499097466,115.140531767,116.7056308395,18079900,0.0,1.0
GS,2010-05-20 00:00:00+00:00,136.1,139.49,135.75,138.2,16279200,115.140531767,118.0084700675,114.8444319425,116.9171307142,16279200,0.0,1.0
GS,2010-05-21 00:00:00+00:00,140.62,143.45,136.25,137.08,25553400,118.9644495009,121.3586280821,115.2674316918,115.9696112757,25553400,0.0,1.0
GS,2010-05-24 00:00:00+00:00,136.69,142.95,136.51,142.0,16556800,115.6396714712,120.9356283328,115.4873915615,120.1319288091,16556800,0.0,1.0
GS,2010-05-25 00:00:00+00:00,142.56,143.19,134.2,134.73,21490900,120.6056885283,121.1386682125,113.5331327196,113.9815124539,21490900,0.0,1.0
GS,2010-05-26 00:00:00+00:00,140.3,145.8,139.69,144.285,17073900,118.6937296614,123.346726904,118.1776699672,122.0650376635,17073900,0.0,1.0
GS,2010-05-27 00:00:00+00:00,144.95,145.05,141.04,142.93,12910200,122.9237271546,123.0085313817,119.6078818758,121.2106817676,12910200,0.35,1.0
GS,2010-05-28 00:00:00+00:00,144.26,145.8,143.1,144.42,10683700,122.3385779878,123.6445630848,121.3548489536,122.4742647511,10683700,0.0,1.0
GS,2010-06-01 00:00:00+00:00,141.86,146.4,141.7,144.26,9455200,120.3032765378,124.1533884473,120.1675897745,122.3385779878,9455200,0.0,1.0
GS,2010-06-02 00:00:00+00:00,144.83,145.0,141.14,142.0,7668400,122.8219620821,122.9661292682,119.6926861028,120.4220024557,7668400,0.0,1.0
GS,2010-06-03 00:00:00+00:00,144.04,145.25,142.5,144.91,7454900,122.1520086882,123.1781398359,120.8460235911,122.8898054638,7454900,0.0,1.0
GS,2010-06-04 00:00:00+00:00,142.25,145.87,141.71,142.17,14900400,120.6340130234,123.7039260438,120.1760701972,120.5661696418,14900400,0.0,1.0
GS,2010-06-07 00:00:00+00:00,138.68,143.27,137.85,142.28,12238600,117.6065021166,121.4990161397,116.9026270319,120.6594542916,12238600,0.0,1.0
